"Markettype","Trddt","Dretmdeq"
"8","2016-01-04","-0.069270"
"2","2016-01-04","-0.076128"
"4","2016-01-04","-0.090596"
"16","2016-01-04","-0.092279"
"1","2016-01-04","-0.087405"
"8","2016-01-05","0.011309"
"2","2016-01-05","0.015887"
"4","2016-01-05","-0.021338"
"16","2016-01-05","-0.036312"
"1","2016-01-05","-0.012811"
"8","2016-01-06","0.020978"
"2","2016-01-06","0.008250"
"4","2016-01-06","0.032459"
"16","2016-01-06","0.033130"
"1","2016-01-06","0.031834"
"8","2016-01-07","-0.058405"
"2","2016-01-07","-0.079001"
"4","2016-01-07","-0.092616"
"16","2016-01-07","-0.093931"
"1","2016-01-07","-0.090405"
"8","2016-01-08","0.034419"
"2","2016-01-08","0.018299"
"4","2016-01-08","0.012282"
"16","2016-01-08","-0.003989"
"1","2016-01-08","0.016966"
"8","2016-01-11","-0.067456"
"2","2016-01-11","-0.085783"
"4","2016-01-11","-0.077700"
"16","2016-01-11","-0.086746"
"1","2016-01-11","-0.073949"
"8","2016-01-12","0.010892"
"2","2016-01-12","0.009444"
"4","2016-01-12","-0.001787"
"16","2016-01-12","0.008259"
"1","2016-01-12","-0.003234"
"8","2016-01-13","-0.008924"
"2","2016-01-13","-0.010423"
"4","2016-01-13","-0.041306"
"16","2016-01-13","-0.051893"
"1","2016-01-13","-0.039239"
"8","2016-01-14","0.026234"
"2","2016-01-14","0.038744"
"4","2016-01-14","0.039598"
"16","2016-01-14","0.061507"
"1","2016-01-14","0.032392"
"8","2016-01-15","-0.028409"
"2","2016-01-15","-0.020280"
"4","2016-01-15","-0.042102"
"16","2016-01-15","-0.037483"
"1","2016-01-15","-0.044189"
"8","2016-01-18","0.010147"
"2","2016-01-18","0.010010"
"4","2016-01-18","0.023272"
"16","2016-01-18","0.039963"
"1","2016-01-18","0.014777"
"8","2016-01-19","0.033975"
"2","2016-01-19","0.038025"
"4","2016-01-19","0.045481"
"16","2016-01-19","0.045623"
"1","2016-01-19","0.042807"
"8","2016-01-20","-0.014746"
"2","2016-01-20","-0.016191"
"4","2016-01-20","-0.006037"
"16","2016-01-20","-0.006109"
"1","2016-01-20","-0.007660"
"8","2016-01-21","-0.027369"
"2","2016-01-21","-0.037989"
"4","2016-01-21","-0.045372"
"16","2016-01-21","-0.048125"
"1","2016-01-21","-0.044365"
"8","2016-01-22","0.013174"
"2","2016-01-22","0.015903"
"4","2016-01-22","0.018656"
"16","2016-01-22","0.023065"
"1","2016-01-22","0.018851"
"8","2016-01-25","0.007989"
"2","2016-01-25","0.010140"
"4","2016-01-25","0.016224"
"16","2016-01-25","0.011442"
"1","2016-01-25","0.016479"
"8","2016-01-26","-0.051869"
"2","2016-01-26","-0.057397"
"4","2016-01-26","-0.082164"
"16","2016-01-26","-0.090587"
"1","2016-01-26","-0.079475"
"8","2016-01-27","-0.005464"
"2","2016-01-27","-0.002016"
"4","2016-01-27","-0.013702"
"16","2016-01-27","-0.008514"
"1","2016-01-27","-0.012376"
"8","2016-01-28","-0.016987"
"2","2016-01-28","-0.020087"
"4","2016-01-28","-0.050881"
"16","2016-01-28","-0.063590"
"1","2016-01-28","-0.045725"
"8","2016-01-29","0.033246"
"2","2016-01-29","0.035342"
"4","2016-01-29","0.042529"
"16","2016-01-29","0.052416"
"1","2016-01-29","0.038850"
"8","2016-02-01","-0.016617"
"2","2016-02-01","-0.014762"
"4","2016-02-01","-0.013625"
"16","2016-02-01","-0.011126"
"1","2016-02-01","-0.015647"
"8","2016-02-02","0.021049"
"2","2016-02-02","0.028212"
"4","2016-02-02","0.040672"
"16","2016-02-02","0.052642"
"1","2016-02-02","0.035707"
"8","2016-02-03","0.004111"
"2","2016-02-03","0.002454"
"4","2016-02-03","0.007865"
"16","2016-02-03","0.008419"
"1","2016-02-03","0.004160"
"8","2016-02-04","0.019479"
"2","2016-02-04","0.017225"
"4","2016-02-04","0.025845"
"16","2016-02-04","0.029783"
"1","2016-02-04","0.024949"
"8","2016-02-05","-0.010487"
"2","2016-02-05","0.001531"
"4","2016-02-05","-0.009971"
"16","2016-02-05","-0.015927"
"1","2016-02-05","-0.007711"
"8","2016-02-15","-0.011865"
"2","2016-02-15","-0.015039"
"4","2016-02-15","0.000429"
"16","2016-02-15","0.004061"
"1","2016-02-15","-0.002407"
"8","2016-02-16","0.028360"
"2","2016-02-16","0.023968"
"4","2016-02-16","0.047954"
"16","2016-02-16","0.055305"
"1","2016-02-16","0.043741"
"8","2016-02-17","0.005029"
"2","2016-02-17","0.011368"
"4","2016-02-17","0.017519"
"16","2016-02-17","0.018679"
"1","2016-02-17","0.015170"
"8","2016-02-18","0.001807"
"2","2016-02-18","0.008744"
"4","2016-02-18","0.000221"
"16","2016-02-18","-0.006354"
"1","2016-02-18","0.001677"
"8","2016-02-19","0.000060"
"2","2016-02-19","-0.003388"
"4","2016-02-19","0.006267"
"16","2016-02-19","0.011573"
"1","2016-02-19","0.003770"
"8","2016-02-22","0.014670"
"2","2016-02-22","0.021080"
"4","2016-02-22","0.025304"
"16","2016-02-22","0.022261"
"1","2016-02-22","0.026205"
"8","2016-02-23","-0.008990"
