"Stkcd","Trddt","Dretnd"
"688015","2020-07-22","0.001144"
"688015","2020-07-23","0.028571"
"688015","2020-07-24","-0.109333"
"688015","2020-07-27","-0.030689"
"688015","2020-07-28","0.010296"
"688015","2020-07-29","0.044076"
"688015","2020-07-30","0.000000"
"688015","2020-07-31","0.020010"
"688015","2020-08-03","0.072967"
"688015","2020-08-04","-0.030100"
"688015","2020-08-05","0.017931"
"688015","2020-08-06","-0.015808"
"688015","2020-08-07","-0.023405"
"688015","2020-08-10","0.038064"
"688015","2020-08-11","-0.008601"
"688015","2020-08-12","0.004795"
"688015","2020-08-13","0.060668"
"688015","2020-08-14","0.026135"
"688015","2020-08-17","0.027140"
"688015","2020-08-18","-0.020325"
"688015","2020-08-19","0.010788"
"688015","2020-08-20","-0.045567"
"688015","2020-08-21","0.056774"
"688015","2020-08-24","0.011396"
"688015","2020-08-25","-0.026962"
"688015","2020-08-26","-0.036807"
"688015","2020-08-27","0.008802"
"688015","2020-08-28","-0.016812"
"688015","2020-08-31","0.048485"
"688015","2020-09-01","0.010735"
"688015","2020-09-02","-0.009395"
"688015","2020-09-03","-0.032990"
"688015","2020-09-04","0.000853"
"688015","2020-09-07","-0.037069"
"688015","2020-09-08","0.000000"
"688015","2020-09-09","-0.040044"
"688015","2020-09-10","-0.037336"
"688015","2020-09-11","0.040938"
"688015","2020-09-14","0.040708"
"688015","2020-09-15","-0.004420"
"688015","2020-09-16","-0.013984"
"688015","2020-09-17","0.026114"
"688015","2020-09-18","0.034664"
"688015","2020-09-21","0.011450"
"688015","2020-09-22","-0.001258"
"688015","2020-09-23","0.023510"
"688015","2020-09-24","-0.017432"
"688015","2020-09-25","-0.011480"
"688015","2020-09-28","-0.004856"
"688015","2020-09-29","0.022915"
"688015","2020-09-30","-0.004356"
"688015","2020-10-09","0.036458"
"688015","2020-10-12","0.010653"
"688015","2020-10-13","-0.009547"
"688015","2020-10-14","-0.026104"
"688015","2020-10-15","-0.018557"
"688015","2020-10-16","0.001681"
"688015","2020-10-19","-0.054950"
"688015","2020-10-20","0.014203"
"688015","2020-10-21","-0.020788"
"688015","2020-10-22","-0.000447"
"688015","2020-10-23","-0.014085"
"688015","2020-10-26","0.027211"
"688015","2020-10-27","0.001104"
"688015","2020-10-28","0.025579"
"688015","2020-10-29","-0.003010"
"688015","2020-10-30","-0.000431"
"688015","2020-11-02","0.003236"
"688015","2020-11-03","0.022581"
"688015","2020-11-04","-0.003575"
"688015","2020-11-05","0.011608"
"688015","2020-11-06","-0.013144"
"688015","2020-11-09","0.035095"
"688015","2020-11-10","-0.018382"
"688015","2020-11-11","-0.051810"
"688015","2020-11-12","0.003511"
