"Stkcd","Stknme_en","Listdt","Estbdt","Markettype"
"000070","TFXX","2000-05-11","1997-07-29","4"
"000096","GJNY","2000-07-24","1999-02-18","4"
"000099","ZXHZ","2000-07-31","1999-02-11","4"
"000100","TCLKJ","2004-01-30","2002-04-19","4"
"000150","*ST YK","2000-08-07","1993-02-19","4"
"000151","ZCGF","2000-09-06","1999-03-01","4"
"000153","FYYY","2000-09-20","1997-08-30","4"
"000155","CNDL","2000-09-26","1997-10-20","4"
"000156","HSCM","2000-09-06","1994-06-30","4"
"000157","ZLZK","2000-10-12","1999-08-01","4"
"000158","CSBM","2000-07-24","1998-12-29","4"
"000159","GJSY","2000-09-26","1999-03-28","4"
"000166","SWHY","2015-01-26","1996-09-16","4"
"000301","DFSH","2000-05-29","1998-07-16","4"
"000333","MDJT","2013-09-18","2000-04-07","4"
"000338","WCDL","2007-04-30","2002-12-23","4"
"000488","CMZY","2000-11-20","1993-05-05","4"
"000725","JDFA","2001-01-12","1993-04-09","4"
"000726","LTA","2000-12-25","1993-10-16","4"
"000869","ZYA","2000-10-26","1997-09-18","4"
"000875","JDGF","2002-09-26","1993-04-28","4"
"000957","ZTKC","2000-01-13","1994-04-07","4"
"000960","XYGF","2000-02-21","1998-11-23","4"
"000961","ZNJS","2000-03-01","1998-07-28","4"
"000962","DFTY","2000-01-20","1999-04-30","4"
"000963","HDYY","2000-01-27","1999-03-31","4"
"000965","TBJJ","2000-04-06","1998-09-30","4"
"000966","CYDL","2000-03-16","1995-04-07","4"
"000967","YFHJ","2000-03-30","1993-11-18","4"
"000968","LYKG","2000-06-22","1998-12-22","4"
"000969","ATKJ","2000-05-29","1998-12-30","4"
"000970","ZKSH","2000-04-20","1999-07-23","4"
"000971","ST GS","2000-04-27","1993-03-26","4"
"000972","ZJJK","2000-09-26","1994-06-30","4"
"000973","FSKJ","2000-05-25","1988-06-01","4"
"000975","YTHJ","2000-06-08","1999-06-18","4"
"000976","ST HT","2000-06-01","1993-01-18","4"
"000977","LCXX","2000-06-08","1998-10-28","4"
"000978","GLLY","2000-05-18","1998-04-29","4"
"000979","ZHT","2000-06-16","1997-08-18","4"
"000980","ZTQC","2000-06-16","1998-08-31","4"
"000981","SZGF","2000-06-22","1998-08-31","4"
"000982","ZYRY","2000-07-06","1998-09-15","4"
"000983","SXJM","2000-07-26","1999-04-26","4"
"000985","DQHK","2000-07-26","1998-12-08","4"
"000987","YXZB","2000-07-18","1992-12-28","4"
"000988","HGKJ","2000-06-08","1999-07-28","4"
"000989","JZT","2000-06-28","1999-05-12","4"
"000990","CZGF","2000-07-06","1998-10-09","4"
"000993","MDDL","2000-07-31","1998-12-30","4"
"000995","HTJY","2000-08-07","1998-09-29","4"
"000996","*ST ZQ","2000-07-18","1994-08-28","4"
"000997","XDL","2000-08-07","1999-06-28","4"
"000998","LPGK","2000-12-11","1999-06-30","4"
"000999","HRSJ","2000-03-09","1999-04-21","4"
"001201","DRGF","2021-04-28","2002-03-27","4"
"001202","JSGF","2021-04-29","2011-11-10","4"
"001203","DZKY","2021-05-10","1999-10-29","4"
"001205","SHGF","2021-05-13","1994-11-07","4"
"001206","YYGF","2021-05-18","1990-05-10","4"
"001207","LKKJ","2021-06-23","2001-04-23","4"
"001208","HLXL","2021-06-24","2003-07-01","4"
"001209","HXGF","2021-07-23","2004-05-20","4"
"001210","JFNY","2021-07-29","1992-11-08","4"
