"Symbol","EndDate","TotalRevenue","ROEC"
"000001","2000-12-31","1431286264.0000","0.1326"
"000001","2001-12-31","2118441363.0000","0.0962"
"000001","2002-12-31","3077098847.0000","0.1169"
"000001","2003-12-31","3128836264.0000","0.0819"
"000001","2004-12-31","4480810798.0000","0.0670"
"000001","2005-12-31","4557763312.0000","0.0723"
"000001","2006-12-31","6788985745.0000","0.2262"
"000001","2007-12-31","10291531000.0000","0.2721"
"000001","2008-12-31","13563220000.0000","0.0418"
"000001","2009-12-31","14293863000.0000","0.2729"
"000001","2010-12-31","17561832000.0000","0.2342"
"000001","2011-12-31","29087326000.0000","0.1914"
"000001","2012-12-31","38911398000.0000","0.1687"
"000001","2013-12-31","51294000000.0000","0.1547"
"000001","2014-12-31","70637000000.0000","0.1630"
"000001","2015-12-31","92705000000.0000","0.1495"
"000001","2016-12-31","104416000000.0000","0.1243"
"000001","2017-12-31","104869000000.0000","0.1093"
"000001","2018-12-31","106212000000.0000","0.1074"
"000001","2019-12-31","126814000000.0000","0.1020"
"000001","2020-12-31","143242000000.0000","0.0854"
"000001","2021-12-31","153503000000.0000","0.0957"
"000001","2022-12-31","160469000000.0000","0.1097"
"000002","2000-12-31","3783668674.1800","0.1217"
"000002","2001-12-31","4455064776.9300","0.1254"
"000002","2002-12-31","4574359629.0500","0.1215"
"000002","2003-12-31","6380060435.2800","0.1382"
"000002","2004-12-31","7667226237.0300","0.1650"
"000002","2005-12-31","10558851683.8300","0.1926"
"000002","2006-12-31","17848210282.1700","0.1804"
"000002","2007-12-31","35526611301.9400","0.2088"
"000002","2008-12-31","40991779214.9600","0.1276"
"000002","2009-12-31","48881013143.4900","0.1527"
"000002","2010-12-31","50713851442.6300","0.1768"
"000002","2011-12-31","71782749800.6800","0.1895"
"000002","2012-12-31","103116245136.4200","0.2089"
"000002","2013-12-31","135418791080.3500","0.1951"
"000002","2014-12-31","146388004498.4400","0.1743"
"000002","2015-12-31","195549130020.9000","0.2058"
"000002","2016-12-31","240477236923.3400","0.1903"
"000002","2017-12-31","242897110250.5200","0.2136"
"000002","2018-12-31","297679331103.1900","0.2334"
"000002","2019-12-31","367893877538.9400","0.2178"
"000002","2020-12-31","419111677714.1200","0.1912"
"000002","2021-12-31","452797773974.1400","0.1025"
"000002","2022-12-31","503838367358.7600","0.0941"
"000003","2000-12-31","464723527.0600",""
"000003","2001-12-31","36606696.7600",""
"000004","2000-12-31","131006632.9100","0.1986"
"000004","2001-12-31","61984462.8200","0.1068"
"000004","2002-12-31","121225612.7600","0.0674"
"000004","2003-12-31","119534953.7700","0.0605"
"000004","2004-12-31","106747751.8600","-0.0262"
"000004","2005-12-31","61376724.8300","-0.1669"
"000004","2006-12-31","45638997.5000","0.0288"
"000004","2007-12-31","40449541.5100","-0.0952"
"000004","2008-12-31","43314824.8700","-0.1255"
"000004","2009-12-31","60080600.3500","0.0518"
"000004","2010-12-31","131331494.6900","0.1845"
"000004","2011-12-31","74503718.5300","0.0687"
"000004","2012-12-31","97363301.6100","0.0546"
"000004","2013-12-31","72784567.1600","0.0396"
"000004","2014-12-31","80608820.0000","0.1035"
"000004","2015-12-31","120454422.4800","0.0428"
"000004","2016-12-31","287670026.5800","0.2326"
"000004","2017-12-31","138605841.9800","0.0325"
"000004","2018-12-31","366868804.7000","-0.1176"
"000004","2019-12-31","108246697.3200","-0.0045"
"000004","2020-12-31","280531008.2200","0.0433"
"000004","2021-12-31","288944181.6200","-0.4229"
"000004","2022-12-31","166463289.9500","-0.9163"
"000005","2000-12-31","145947499.3500","-0.0099"
"000005","2001-12-31","67128226.0600","-0.0746"
"000005","2002-12-31","54943231.8100","-0.0906"
"000005","2003-12-31","91575344.9600","0.0010"
"000005","2004-12-31","49378189.6400","0.0019"
"000005","2005-12-31","45395726.5700","-0.2324"
"000005","2006-12-31","328062265.6500","0.0805"
"000005","2007-12-31","299031612.4100","0.1066"
"000005","2008-12-31","108720264.8300","0.0140"
"000005","2009-12-31","43192476.4800","-0.0673"
"000005","2010-12-31","137234232.8500","-0.0064"
"000005","2011-12-31","63534839.0100","0.0171"
"000005","2012-12-31","99421227.7500","0.0328"
"000005","2013-12-31","52061702.6900","-0.0648"
"000005","2014-12-31","52776994.2900","0.0667"
"000005","2015-12-31","84125970.6900","-0.0574"
"000005","2016-12-31","481863433.3100","0.0911"
"000005","2017-12-31","530922230.5300","0.0166"
"000005","2018-12-31","486180975.7500","0.1051"
