"Indexcd","Trddt","Clsindex"
"000001","2004-01-02","1517.193"
"000001","2004-01-05","1568.353"
"000001","2004-01-06","1574.523"
"000001","2004-01-07","1587.204"
"000001","2004-01-08","1610.126"
"000001","2004-01-09","1581.466"
"000001","2004-01-12","1618.518"
"000001","2004-01-13","1612.683"
"000001","2004-01-14","1592.423"
"000001","2004-01-15","1586.493"
"000001","2004-01-16","1600.425"
"000001","2004-01-29","1628.837"
"000001","2004-01-30","1590.729"
"000001","2004-02-02","1623.880"
"000001","2004-02-03","1649.282"
"000001","2004-02-04","1685.159"
"000001","2004-02-05","1693.428"
"000001","2004-02-06","1679.193"
"000001","2004-02-09","1703.529"
"000001","2004-02-10","1691.009"
"000001","2004-02-11","1677.759"
"000001","2004-02-12","1663.832"
"000001","2004-02-13","1658.539"
"000001","2004-02-16","1696.827"
"000001","2004-02-17","1703.774"
"000001","2004-02-18","1717.096"
"000001","2004-02-19","1717.015"
"000001","2004-02-20","1721.752"
"000001","2004-02-23","1681.654"
"000001","2004-02-24","1682.297"
"000001","2004-02-25","1647.381"
"000001","2004-02-26","1654.898"
"000001","2004-02-27","1675.067"
"000001","2004-03-01","1689.760"
"000001","2004-03-02","1687.278"
"000001","2004-03-03","1661.812"
"000001","2004-03-04","1668.874"
"000001","2004-03-05","1662.096"
"000001","2004-03-08","1637.144"
"000001","2004-03-09","1637.099"
"000001","2004-03-10","1678.073"
"000001","2004-03-11","1691.643"
"000001","2004-03-12","1694.743"
"000001","2004-03-15","1736.220"
"000001","2004-03-16","1745.543"
"000001","2004-03-17","1745.098"
"000001","2004-03-18","1717.260"
"000001","2004-03-19","1747.872"
"000001","2004-03-22","1755.685"
"000001","2004-03-23","1741.695"
"000001","2004-03-24","1740.054"
"000001","2004-03-25","1736.477"
"000001","2004-03-26","1734.047"
"000001","2004-03-29","1719.674"
"000001","2004-03-30","1724.277"
"000001","2004-03-31","1741.623"
"000001","2004-04-01","1758.147"
"000001","2004-04-02","1768.645"
"000001","2004-04-05","1766.483"
"000001","2004-04-06","1777.516"
"000001","2004-04-07","1774.552"
"000001","2004-04-08","1770.279"
"000001","2004-04-09","1727.348"
"000001","2004-04-12","1722.986"
"000001","2004-04-13","1715.136"
"000001","2004-04-14","1697.156"
"000001","2004-04-15","1679.076"
"000001","2004-04-16","1693.861"
"000001","2004-04-19","1675.885"
"000001","2004-04-20","1669.422"
"000001","2004-04-21","1651.577"
"000001","2004-04-22","1657.785"
"000001","2004-04-23","1635.501"
"000001","2004-04-26","1635.499"
"000001","2004-04-27","1611.860"
"000001","2004-04-28","1606.801"
"000001","2004-04-29","1579.447"
"000001","2004-04-30","1595.587"
"000001","2004-05-10","1560.215"
"000001","2004-05-11","1568.059"
"000001","2004-05-12","1603.768"
"000001","2004-05-13","1597.570"
"000001","2004-05-14","1562.688"
"000001","2004-05-17","1539.959"
"000001","2004-05-18","1555.442"
"000001","2004-05-19","1558.287"
"000001","2004-05-20","1549.061"
"000001","2004-05-21","1558.330"
"000001","2004-05-24","1550.348"
"000001","2004-05-25","1518.045"
"000001","2004-05-26","1524.436"
"000001","2004-05-27","1557.178"
"000001","2004-05-28","1548.722"
"000001","2004-05-31","1555.906"
"000001","2004-06-01","1579.658"
"000001","2004-06-02","1567.067"
"000001","2004-06-03","1543.527"
"000001","2004-06-04","1542.086"
"000001","2004-06-07","1517.145"
"000001","2004-06-08","1493.814"
"000001","2004-06-09","1468.071"
"000001","2004-06-10","1468.344"
"000001","2004-06-11","1472.072"
"000001","2004-06-14","1438.736"
"000001","2004-06-15","1463.777"
"000001","2004-06-16","1475.416"
"000001","2004-06-17","1445.501"
"000001","2004-06-18","1427.301"
"000001","2004-06-21","1433.467"
"000001","2004-06-22","1450.683"
"000001","2004-06-23","1440.729"
"000001","2004-06-24","1427.754"
"000001","2004-06-25","1401.113"
"000001","2004-06-28","1385.181"
"000001","2004-06-29","1408.689"
"000001","2004-06-30","1399.162"
"000001","2004-07-01","1441.068"
"000001","2004-07-02","1441.190"
"000001","2004-07-05","1444.590"
"000001","2004-07-06","1450.501"
"000001","2004-07-07","1438.398"
"000001","2004-07-08","1439.783"
"000001","2004-07-09","1430.654"
"000001","2004-07-12","1397.148"
"000001","2004-07-13","1399.461"
"000001","2004-07-14","1403.755"
"000001","2004-07-15","1421.544"
"000001","2004-07-16","1456.130"
"000001","2004-07-19","1457.537"
"000001","2004-07-20","1447.941"
"000001","2004-07-21","1448.037"
"000001","2004-07-22","1407.438"
"000001","2004-07-23","1407.396"
"000001","2004-07-26","1387.670"
"000001","2004-07-27","1384.128"
"000001","2004-07-28","1388.810"
"000001","2004-07-29","1407.331"
"000001","2004-07-30","1386.202"
"000001","2004-08-02","1373.217"
"000001","2004-08-03","1366.258"
"000001","2004-08-04","1404.505"
"000001","2004-08-05","1389.039"
"000001","2004-08-06","1390.461"
"000001","2004-08-09","1395.848"
"000001","2004-08-10","1400.769"
"000001","2004-08-11","1384.964"
"000001","2004-08-12","1368.196"
"000001","2004-08-13","1368.450"
"000001","2004-08-16","1354.511"
"000001","2004-08-17","1360.200"
"000001","2004-08-18","1358.216"
"000001","2004-08-19","1339.050"
"000001","2004-08-20","1341.738"
"000001","2004-08-23","1325.413"
"000001","2004-08-24","1344.626"
"000001","2004-08-25","1339.784"
"000001","2004-08-26","1334.422"
"000001","2004-08-27","1320.614"
"000001","2004-08-30","1319.407"
"000001","2004-08-31","1342.062"
"000001","2004-09-01","1321.462"
"000001","2004-09-02","1327.927"
"000001","2004-09-03","1327.116"
"000001","2004-09-06","1321.465"
"000001","2004-09-07","1324.294"
"000001","2004-09-08","1309.333"
"000001","2004-09-09","1284.307"
"000001","2004-09-10","1287.081"
"000001","2004-09-13","1260.316"
"000001","2004-09-14","1300.357"
"000001","2004-09-15","1355.226"
"000001","2004-09-16","1371.201"
